Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Time (s)
PINN,Phys,7,1.851157285273075,1.1683784425258636,0.9104272127151489,49.472376055957284,9.963825393406529,0.8398660987916229,6.395252752304077
PINN,Phys,8,1.8354931846261024,1.143904123455286,0.9190956950187683,55.04786242201504,10.80378232037716,0.8471647958460566,2.245090889930725
PINN,Phys,9,3.032161109149456,1.4819233678281307,0.7573465704917908,56.632825344513414,10.357940996738597,0.7389271683565398,4.264381289482117
FNN,Base,0,6.796805560588837,5.323655158281326,-0.11460673809051514,1582.0433776588307,286.6836737143317,-78.39683979636781,3.3683172464370728
FNN,Base,1,8.3553247153759,5.981812998652458,-0.6843745708465576,1576.8389205932617,287.822398965649,-78.51713601082538,1.8578846216201783
FNN,Base,2,7.838675379753113,5.6778352707624435,-0.48250913619995117,1729.367039489746,319.119244203405,-88.88260831844356,2.785355067253113
FNN,Base,3,7.156913727521896,5.423765257000923,-0.23584365844726562,1613.1839479439732,293.355020628549,-78.25828611968858,1.6934983253479003
FNN,Base,4,9.179002791643143,6.598858535289764,-1.032839059829712,1729.367039489746,319.119244203405,-88.88260831844356,1.449759340286255
FNN,Base,5,6.227261945605278,4.323369264602661,0.06436538696289062,1189.5711809953134,224.76894894919758,-51.04166533808966,1.5871517658233643
FNN,Base,6,6.679411232471466,5.053911358118057,-0.07643651962280273,1407.9828787600893,250.59652403609087,-67.44464797195421,1.3637796640396118
FNN,Base,7,6.560198962688446,4.844250530004501,-0.038355350494384766,1576.2716415405273,287.5221074917778,-78.47858498591043,0.6142436265945435
FNN,Base,8,5.169672891497612,3.882136195898056,0.3551805019378662,955.1851377234334,173.62555084437142,-34.258825884587225,1.1955856800079345
FNN,Base,9,8.004714548587799,6.47609680891037,-0.5459794998168945,1729.367039489746,319.119244203405,-88.88260831844356,1.0581510543823243
FNN,Phys,0,6.652481853961945,4.985318332910538,-0.06777417659759521,1488.246479209606,265.74983821551,-70.04379649171624,2.160482573509216
FNN,Phys,1,8.378901332616806,6.106752902269363,-0.6938939094543457,1576.8389205932617,287.822398965649,-78.51713601082538,1.8043741941452027
FNN,Phys,2,6.725183874368668,4.692110046744347,-0.0912400484085083,1292.184564524236,233.00630858250653,-59.54535921692889,1.76728355884552
FNN,Phys,3,7.779356837272644,5.846311151981354,-0.46015632152557373,1898.1835116036716,529.7981513876313,-97.36494764007988,2.0079505443573
FNN,Phys,4,9.100620448589325,6.690467894077301,-0.9982692003250122,1729.367039489746,319.119244203405,-88.88260831844356,2.0306097745895384
FNN,Phys,5,5.904867500066757,4.124706983566284,0.158735990524292,1274.389550745374,237.66296583643464,-59.443207951511866,1.4079601049423218
FNN,Phys,6,6.830286979675293,4.765058308839798,-0.12561500072479248,1576.2716415405273,287.5221074917778,-78.47858498591043,2.1466224193573
FNN,Phys,7,6.568839401006699,4.868680983781815,-0.04109227657318115,1354.134612460802,257.6955489418317,-64.11548896870599,0.45617358684539794
FNN,Phys,8,6.019946932792664,4.335192963480949,0.1256258487701416,1173.9454784589866,226.60495181443147,-50.86715740362281,1.8386098623275757
FNN,Phys,9,8.530505001544952,6.227406859397888,-0.7557450532913208,1729.367039489746,319.119244203405,-88.88260831844356,0.706773328781128
CNN,Base,0,6.033149734139442,4.3418824672698975,0.12178629636764526,1423.743522644043,256.2252622540217,-68.11311267829225,0.29402143955230714
CNN,Base,1,6.468917429447174,4.644275456666946,-0.009660005569458008,1379.4360458374024,260.69427009714974,-65.1020749287783,0.28514575958251953
CNN,Base,2,6.792964786291122,4.510118439793587,-0.11334741115570068,1423.743522644043,256.2252622540217,-68.11311267829225,0.2984088659286499
CNN,Base,3,7.027484476566315,5.465992167592049,-0.19154870510101318,1394.4307210802972,258.3049880391774,-65.13268186641685,0.24338746070861816
CNN,Base,4,6.116609647870064,4.455152526497841,0.097320556640625,1308.1597702026368,239.0273781379632,-60.25829748873965,0.3682992935180664
CNN,Base,5,8.506371825933456,6.56043216586113,-0.7458251714706421,1729.367039489746,319.119244203405,-88.88260831844356,0.21267273426055908
CNN,Base,6,6.984467804431915,5.028015002608299,-0.17700576782226562,1482.4747430913026,274.207499364945,-73.082230149809,0.2428118944168091
CNN,Base,7,6.615203619003296,4.317893832921982,-0.05584073066711426,1286.500262461095,233.9260307159616,-59.42896432620664,0.25190856456756594
CNN,Base,8,10.155188292264938,8.07013139128685,-1.488215446472168,1576.2716415405273,287.5221074917778,-78.47858498591043,0.28502788543701174
